V2Codes,Description
76177,Maintenance of percutaneous endoscopic gastrostomy tube
761E3,Temporary percutaneous endoscopic gastrostomy
761E4,Permanent percutaneous endoscopic gastrostomy
761E6,Fibreoptic endoscopic percutaneous insertion of gastrostomy (PEG)
761EA,Fibreoptic endoscopic percutaneous insertion of gastrostomy
8CJ2.,Percutaneous endoscopic gastrostomy feeding
