CTV3Codes,Description
X20To,Percutaneous endoscopic gastrostomy
XaLdL,Fibreoptic endoscopic percutaneous insertion of gastrostomy (PEG)
XaDsY,Temporary percutaneous endoscopic gastrostomy
XaDsZ,Permanent percutaneous endoscopic gastrostomy
Ua1Ry,Percutaneous endoscopic gastrostomy feeding
XaB9t,Endoscopic removal of percutaneous gastrostomy
XaZQl,Maintenance of percutaneous endoscopic gastrostomy tube
