V2Codes,Description
SN58.,Food allergy
SN580,Egg allergy
SN581,Egg protein allergy
SN582,Peanut allergy
SN583,Nut allergy
SN584,Wheat allergy
SN585,Fish allergy
SN586,Seafood allergy
SN587,Shellfish allergy
SN588,Mushroom allergy
SN589,Allergy to strawberries
SN58A,Allergy to soya
SN58B,Allergy to banana
SN58C,Allergy to tomato
8CA4S,Dietary advice for food allergy
SN500,Anaphylactic shock due to adverse food reaction
