CTV3Codes,Description
mb1N.,Urea+lactic acid 20/5% solution
m12i.,Unguentum dispenser 200mL
m12h.,Unguentum Merck cream 900g
m12g.,Unguentum cream 500g
m12f.,Unguentum cream 100g
m12e.,Unguentum cream 50g
x00Ho,Unguentum M cream
mb1S.,Cocois scalp ointment 40g
mb1R.,Cocois scalp ointment 100g
mb1L.,Cocois scalp ointment
m11b.,Ultrabase cream 500g pump dispenser
m119.,Ultrabase cream 500g
m118.,Ultrabase cream 50g
x00Hn,Ultrabase cream
x01F8,Thovaline spray
m23e.,Thovaline ointment 500g
m23d.,Thovaline ointment 125g
m23c.,Thovaline ointment 90g
m23a.,Thovaline ointment 15g
x01F9,Thovaline ointment
m239.,Sudocrem cream 250g
m238.,Sudocrem cream 125g
m237.,Sudocrem cream 60g
m236.,Sudocrem cream 25g
x00HZ,Sudocrem cream
m12a.,Simple ointment BP
x01F7,Sential E cream
m232.,Rikospray Silicone spray 200g
m231.,Rikospray Balsam spray 50g
x01FA,Rikospray spray
m22h.,Humiderm cream 60g
x00Gj,Humiderm cream
m22v.,Pyrrolidone carboxylic acid 5% cream
m22I.,Oilatum Junior cream 350mL
m22A.,Oilatum Junior cream 150g
x05GX,Oilatum Junior cream
m22K.,OILATUM cream 1050mL
m22J.,OILATUM JUNIOR cream 1050mL
m22g.,Oilatum cream 80g
m22f.,Oilatum cream 40g
m22C.,Oilatum cream 500mL
m22B.,Oilatum cream 150g
x00HA,Oilatum cream
x02Ao,Neutrogena dermatological cream
m22e.,Noratex cream 500g
x01FC,Noratex cream
m22d.,Natuderm cream 450g
x01FB,Natuderm cream
m229.,Morsep cream 40g
x00H3,Morsep cream
m225.,Masse cream 28g
x00H0,Masse cream
m12d.,Locobase ointment 100g
x01FE,Locobase ointment
m117.,Locobase cream 100g
x01FD,Locobase cream
m116.,Lipobase cream 50g
x00Gu,Lipobase cream
m224.,Lacticare lotion 150mL
x00TM,Lacticare lotion
m223.,Keri lotion 380mL
m222.,Keri lotion 190mL
x00TL,Keri lotion
x03aX,Infaderm Therapeutic oil
x03aY,Imuderm Therapeutic oil
mh1v.,Hewletts cream 400g
mh1u.,Hewletts cream 35g
x00Gf,Hewletts cream
m12j.,Wool fat hydrous ointment
