V2Codes,Description
m24A.,UREA+LAUROMACROGOLS 5%/3% cream
m24B.,BALNEUM PLUS cream 100g
m24C.,NUTRAPLUS cream 100g
m24D.,*EUCERIN 10% cream 50mL
m24E.,*EUCERIN 10% cream 150mL
m24F.,*EUCERIN 10% lotion 150mL
m24G.,EUCERIN 10% lotion 250mL
m24H.,BALNEUM PLUS cream 175g
m24I.,BALNEUM PLUS cream 500g
m24J.,E45 ITCH RELIEF cream 50g
m24K.,BALNEUM PLUS cream 500g pump dispenser
m24L.,E45 ITCH RELIEF cream 500g
m24M.,FLEXITOL HEEL BALM cream 75g
m24N.,FLEXITOL HEEL BALM cream 200g
m24O.,EUCERIN 10% cream 100mL
m24P.,DERMATONICS HEEL BALM 75g
m24Q.,DERMATONICS HEEL BALM 200g
m24R.,HYDROMOL INTENSIVE 10% cream 30g
m24S.,HYDROMOL INTENSIVE 10% cream 100g
m24T.,BALNEUM cream 50g
m24U.,BALNEUM cream 500g
m24V.,CLEARZAL CALLUS cream 100g
m24W.,FLEXITOL 10% cream 150g
m24X.,FLEXITOL 10% cream 500g
m24Y.,FLEXITOL HEEL BALM cream 500g
m24Z.,FLEXITOL HEEL BALM 40g
m25..,EMOLLIENT BATH ADDITIVES
m251.,*ALPHA KERI bath oil 240mL
m252.,*ALPHA KERI bath oil 480mL
m253.,AVEENO REGULAR ACBS bath additive 50g
m254.,AVEENO OILATED ACBS bath additive 50g sachet
m255.,BALNEUM bath oil 200mL
m256.,BALNEUM bath oil 500mL
m257.,BALNEUM bath oil 1 litre
m258.,OILATUM EMOLLIENT bath additive 150mL
m259.,OILATUM EMOLLIENT bath additive 350mL
m25A.,AVEENO ACBS bath oil 250mL
m25B.,BALNEUM bath oil 150mL
m25C.,BALNEUM PLUS bath oil 150mL
m25D.,OILATUM FRAGRANCE FREE liquid bath additive 500mL
m25E.,OILATUM GEL shower emollient 150g
m25F.,AVEENO COLLOIDAL BABY bath additive 15g sachet
m25G.,OILATUM FRAGRANCE FREE JUNIOR bath additive 250mL
m25H.,OILATUM FRAGRANCE FREE JUNIOR bath additive 1 litre
m25I.,OILATUM BATH FORMULA liquid bath additive 150mL
m25J.,OILATUM BATH FORMULA liquid bath additive 300mL
m25K.,OILATUM JUNIOR BATH FORMULA liquid bath additive 150mL
m25L.,OILATUM JUNIOR BATH FORMULA liquid bath additive 300mL
m25M.,HYDROMOL EMOLLIENT bath additive 500mL
m25N.,DOUBLEBASE EMOLLIENT shower gel 200g
m25O.,*QV bath oil 200mL
m25P.,*QV wash lotion 200mL
m25Q.,DOUBLEBASE EMOLLIENT bath additive 500mL
m25R.,ZEROLATUM EMOLLIENT MEDICINAL bath oil 500mL
m25S.,ZEROLATUM PLUS bath additive 500mL
m25T.,HYDROMOL BATH & SHOWER EMOLLIENT bath additive 50mL
m25U.,OILATUM FRAGRANCE FREE SHOWER gel 150g
m25V.,ZERONEUM bath oil 500mL
m25W.,*ZEROZOLE bath oil 500mL
m25X.,QV GENTLE wash 250mL
m25Y.,QV GENTLE wash 500mL
m25Z.,QV bath oil 250mL
