CTV3Codes,Description
44d4.,Plasma random LDL cholesterol level
44d5.,Plasma fasting LDL cholesterol level
44P6.,Serum LDL cholesterol level
44PD.,Serum fasting LDL cholesterol level
44PE.,Serum random LDL cholesterol level
XaEVs,Plasma LDL cholesterol level
XaIp4,Calculated LDL cholesterol level
