CTV3Codes,Description
44d2.,Plasma random HDL cholesterol level
44d3.,Plasma fasting HDL cholesterol level
44P5.,Serum HDL cholesterol level
44PB.,Serum fasting HDL cholesterol level
44PC.,Serum random HDL cholesterol level
XaEVr,Plasma HDL cholesterol level
